line_item_id,transaction_id,product_id,promotion_id,quantity,line_item_amount
1,TXN100001,26,1.0,2,2232.18
2,TXN100001,6,3.0,1,1205.21
3,TXN100001,24,,3,1973.52
4,TXN100001,10,,1,176.85
5,TXN100001,18,1.0,4,1151.88
6,TXN100002,18,,1,287.97
7,TXN100002,16,,4,5537.0
8,TXN100002,10,,4,707.4
9,TXN100002,10,,2,353.7
10,TXN100002,8,1.0,4,4938.84
14,TXN100004,12,4.0,2,3865.96
15,TXN100004,20,3.0,4,468.24
16,TXN100004,25,,1,1064.13
17,TXN100005,23,1.0,4,5367.68
18,TXN100005,30,3.0,2,3764.04
19,TXN100005,7,,1,140.58
20,TXN100006,27,,3,1231.41
21,TXN100007,22,,4,2218.48
22,TXN100007,17,5.0,3,2724.9
23,TXN100007,23,4.0,4,5367.68
24,TXN100007,29,1.0,3,4684.53
25,TXN100008,7,,4,562.32
26,TXN100008,13,,2,3252.74
27,TXN100008,30,1.0,1,1882.02
28,TXN100009,4,,3,1318.08
29,TXN100010,4,,2,878.72
30,TXN100010,22,,4,2218.48
31,TXN100010,17,,4,3633.2
32,TXN100010,28,,4,7762.76
33,TXN100011,3,4.0,4,6324.36
34,TXN100011,9,,1,382.52
35,TXN100012,18,4.0,2,575.94
36,TXN100012,22,,2,1109.24
37,TXN100012,28,,2,3881.38
38,TXN100012,18,4.0,2,575.94
39,TXN100012,23,,1,1341.92
40,TXN100013,10,,2,353.7
41,TXN100013,12,,2,3865.96
42,TXN100013,26,,3,3348.27
43,TXN100013,20,5.0,1,117.06
44,TXN100014,15,,3,721.38
45,TXN100014,1,,4,3057.64
46,TXN100014,25,,1,1064.13
47,TXN100014,10,2.0,4,707.4
48,TXN100015,10,,1,176.85
49,TXN100015,27,,1,410.47
50,TXN100016,16,,3,4152.75
51,TXN100016,5,,3,3158.28
52,TXN100016,28,,4,7762.76
53,TXN100016,11,3.0,4,7601.32
54,TXN100016,11,5.0,4,7601.32
55,TXN100017,27,,1,410.47
56,TXN100017,6,,3,3615.63
57,TXN100017,21,,1,1823.17
58,TXN100017,26,,3,3348.27
59,TXN100018,26,,3,3348.27
60,TXN100019,23,4.0,3,4025.76
61,TXN100019,24,,1,657.84
62,TXN100019,25,4.0,2,2128.26
63,TXN100020,12,,3,5798.94
64,TXN100020,3,2.0,1,1581.09
65,TXN100020,30,,4,7528.08
66,TXN100021,6,,3,3615.63
67,TXN100021,23,5.0,2,2683.84
68,TXN100021,9,5.0,4,1530.08
69,TXN100021,11,2.0,1,1900.33
70,TXN100021,10,4.0,1,176.85
71,TXN100022,17,,3,2724.9
72,TXN100023,22,,3,1663.86
73,TXN100023,23,,4,5367.68
74,TXN100023,9,,1,382.52
77,TXN100025,22,,3,1663.86
78,TXN100025,28,,3,5822.07
79,TXN100025,27,4.0,1,410.47
80,TXN100025,16,5.0,1,1384.25
81,TXN100025,9,,2,765.04
82,TXN100026,6,4.0,2,2410.42
83,TXN100026,7,,1,140.58
84,TXN100027,23,,4,5367.68
85,TXN100028,30,5.0,1,1882.02
86,TXN100028,24,,3,1973.52
90,TXN100030,8,,4,4938.84
91,TXN100030,14,,1,644.0
92,TXN100030,29,,3,4684.53
93,TXN100030,26,1.0,3,3348.27
94,TXN100030,18,3.0,4,1151.88
95,TXN100031,28,3.0,3,5822.07
96,TXN100031,18,2.0,2,575.94
97,TXN100031,11,,1,1900.33
98,TXN100032,21,,4,7292.68
